# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-a" "/home/yc1201/rnaseq_ypd1/reference/genomic.gtf" "-t" "exon" "-g" "gene_id" "-o" "/home/yc1201/rnaseq_ypd1/results/counts/candida_counts_matrix.txt" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_1_WT1_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_2_WT2_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_3_kcs1-1_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_4_kcs1-2_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_5_vip1-1_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_6_vip1-2_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_7_dbl-1_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_8_dbl-2_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_1_WT1_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_2_WT2_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_3_kcs1-1_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_4_kcs1-2_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_5_vip1-1_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_6_vip1-2_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_7_dbl-1_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_8_dbl-2_Aligned.sortedByCoord.out.bam
CAALFM_C100920WA	NC_032089.1	181403	185239	+	3837	611	672	684	553	575	499	523	493
CAALFM_C100930CA	NC_032089.1;NC_032089.1;NC_032089.1;NC_032089.1;NC_032089.1	185507;189350;189779;189965;190087	189170;189693;189900;190011;190145	-;-;-;-;-	4236	633	717	666	565	740	651	572	621
CAALFM_C100940WA	NC_032089.1;NC_032089.1	190698;190835	190750;191156	+;+	375	2055	2429	2015	1935	1863	2143	2671	2484
CAALFM_C100950CA	NC_032089.1	191444	193405	-	1962	3270	3367	3334	3145	4453	3942	3968	3860
CAALFM_C100960CA	NC_032089.1	194676	197798	-	3123	442	385	485	551	752	653	471	445
CAALFM_C100970WA	NC_032089.1;NC_032089.1	198221;198352	198284;198746	+;+	459	14	3	35	62	118	61	29	20
CAALFM_C100980WA	NC_032089.1	198951	199220	+	270	1238	1254	1243	1281	768	845	1197	1115
CAALFM_C100990CA	NC_032089.1	199316	202249	-	2934	151	151	186	172	195	186	162	181
CAALFM_C101000CA	NC_032089.1	202532	203623	-	1092	372	380	403	396	382	386	496	426
CAALFM_C101010WA	NC_032089.1	203945	204415	+	471	3469	3828	3496	3319	3006	2745	3590	3497
CAALFM_C101020WA	NC_032089.1	204985	205057	+	73	9	11	42	31	103	87	16	21
CAALFM_C101030WA	NC_032089.1	205265	206284	+	1020	3177	3566	3486	3571	2737	2727	3088	2823
CAALFM_C101040WA	NC_032089.1	206477	206920	+	444	845	909	916	896	1376	1278	816	905
CAALFM_C101050CA	NC_032089.1	206917	207855	-	939	2060	2356	2447	2566	3216	3128	2525	2633
CAALFM_C101060WA	NC_032089.1	208285	208740	+	456	10114	10303	10291	10380	8693	9559	11325	11262
CAALFM_C101070CA	NC_032089.1	209078	210502	-	1425	308	283	586	451	936	900	320	346
CAALFM_C101080WA	NC_032089.1	210872	212377	+	1506	269	343	391	355	377	377	411	317
CAALFM_C101090CA	NC_032089.1	212439	212747	-	309	3763	4306	4267	4362	2865	3014	4910	4530
CAALFM_C101100WA	NC_032089.1	213635	220399	+	6765	447	516	1238	1316	1989	1754	604	616
CAALFM_C101110CA	NC_032089.1	220539	222068	-	1530	2667	2846	2884	2978	2345	2382	2839	2673
CAALFM_C101130WA	NC_032089.1	224667	226874	+	2208	921	838	1020	1068	1518	1291	1023	938
CAALFM_C101140CA	NC_032089.1	227677	229779	-	2103	1691	1563	2025	1607	1061	869	1796	1670
CAALFM_C101150CA	NC_032089.1	232865	234934	-	2070	412	405	518	527	597	525	511	567
CAALFM_C101160CA	NC_032089.1	235077	235889	-	813	499	674	678	817	774	899	657	638
CAALFM_C101170CA	NC_032089.1	236084	238300	-	2217	642	774	980	955	1443	1451	949	865
CAALFM_C101180CA	NC_032089.1	239091	240914	-	1824	52	60	107	126	267	283	99	83
CAALFM_C101190CA	NC_032089.1	241113	242504	-	1392	1010	968	997	1019	956	952	1098	1010
CAALFM_C101200WA	NC_032089.1	242741	244663	+	1923	701	706	782	800	919	819	690	624
CAALFM_C101210WA	NC_032089.1	245206	246453	+	1248	895	988	934	1002	1175	1049	759	661
CAALFM_C101220CA	NC_032089.1	246661	247413	-	753	109	88	124	94	154	134	43	22
CAALFM_C101240WA	NC_032089.1	248816	249865	+	1050	252	252	255	215	195	175	210	205
CAALFM_C101250WA	NC_032089.1	250103	251977	+	1875	3007	3166	3129	2986	2848	2504	2918	2757
CAALFM_C101260CA	NC_032089.1	252036	252488	-	453	817	815	837	784	808	818	1005	849
CAALFM_C101270WA	NC_032089.1	253158	254441	+	1284	758	673	653	699	781	803	780	805
CAALFM_C101280CA	NC_032089.1	254618	254965	-	348	54	61	96	69	66	85	81	95
CAALFM_C101290CA	NC_032089.1	255170	257443	-	2274	302	337	321	318	341	297	236	167
CAALFM_C101300WA	NC_032089.1	257921	258904	+	984	2110	2007	2065	2179	2604	2553	2101	2203
CAALFM_C101320WA	NC_032089.1	259647	261173	+	1527	1567	1734	1778	2054	1554	1383	1490	1277
CAALFM_C101330CA	NC_032089.1	261359	261838	-	480	232	286	246	253	286	291	239	245
CAALFM_C101340CA	NC_032089.1	262217	263083	-	867	316	340	282	260	404	412	243	201
CAALFM_C101350CA	NC_032089.1	263479	264672	-	1194	47753	53758	51135	50187	45462	43726	58007	52295
CAALFM_C101360CA	NC_032089.1	265483	267465	-	1983	771	747	828	632	726	682	514	529
CAALFM_C101370CA	NC_032089.1;NC_032089.1	269372;269989	269611;270012	-;-	264	109814	122711	115478	119950	81157	82882	131241	123622
CAALFM_C101380CA	NC_032089.1	270319	271974	-	1656	734	804	1118	1224	1490	1503	937	857
CAALFM_C101390CA	NC_032089.1	272374	274197	-	1824	149	159	136	192	228	238	247	204
CAALFM_C101400CA	NC_032089.1	275477	276952	-	1476	640	719	750	732	964	827	761	720
CAALFM_C101420CA	NC_032089.1	278222	279262	-	1041	626	762	1372	1504	2295	2329	910	881
CAALFM_C101440CA	NC_032089.1	280421	280819	-	399	8	16	33	43	56	46	11	3
CAALFM_C101450WA	NC_032089.1	282437	284137	+	1701	360	387	398	369	401	323	321	299
CAALFM_C101460WA	NC_032089.1	284639	287617	+	2979	573	616	661	633	933	855	644	568
CAALFM_C101470WA	NC_032089.1	288033	289328	+	1296	1044	1109	1040	1069	1327	1247	894	891
CAALFM_C101480CA	NC_032089.1	289699	290448	-	750	60836	64044	59590	60091	53406	50038	68115	65507
CAALFM_C101490WA	NC_032089.1	291847	292449	+	603	5997	6274	5711	5665	4891	4398	7106	6793
CAALFM_C101510WA	NC_032089.1	299614	301767	+	2154	29	14	36	27	109	105	20	8
CAALFM_C101520CA	NC_032089.1	305308	306012	-	705	3807	3880	3976	3847	4137	3997	5657	5005
CAALFM_C101530CA	NC_032089.1	306618	308486	-	1869	5941	6212	6450	6719	6203	5872	5895	5475
CAALFM_C101540WA	NC_032089.1	309122	310972	+	1851	1176	1085	1120	976	1303	1301	851	895
CAALFM_C101550WA	NC_032089.1	311200	312759	+	1560	564	612	563	551	570	525	514	461
CAALFM_C101560WA	NC_032089.1	313161	317798	+	4638	719	888	934	936	1142	1120	1068	1006
CAALFM_C101570CA	NC_032089.1	317950	318471	-	522	888	973	878	967	940	858	890	918
CAALFM_C101580WA	NC_032089.1	318929	319459	+	531	3637	4031	4400	3996	3002	3224	4596	4382
CAALFM_C101590CA	NC_032089.1	319665	323369	-	3705	1520	1823	1753	1895	2081	1893	1836	1626
CAALFM_C101600WA	NC_032089.1	323650	324531	+	882	554	650	563	572	372	418	571	546
CAALFM_C101610CA	NC_032089.1;NC_032089.1	324887;325918	325739;325940	-;-	876	56	48	56	62	114	110	55	45
CAALFM_C101620CA	NC_032089.1	326428	327426	-	999	40	34	34	28	35	27	36	26
CAALFM_C101630WA	NC_032089.1	331354	332037	+	684	181	160	169	197	327	316	284	205
CAALFM_C101640WA	NC_032089.1;NC_032089.1	332721;333303	332734;334077	+;+	789	8327	9287	8964	9245	6498	5840	9491	8711
CAALFM_C101650WA	NC_032089.1	334643	336025	+	1383	789	762	934	924	1366	1350	770	688
CAALFM_C101660CA	NC_032089.1	336119	336200	-	82	1	0	0	1	0	1	0	1
CAALFM_C101670CA	NC_032089.1	336700	341496	-	4797	266	225	303	298	371	416	286	281
CAALFM_C101680CA	NC_032089.1	341928	342440	-	513	1163	1458	1440	1406	1109	1318	1399	1324
CAALFM_C101690CA	NC_032089.1	342930	343901	-	972	660	890	658	778	824	706	1032	1014
CAALFM_C101700WA	NC_032089.1	345562	348762	+	3201	1466	1310	1420	1373	1208	1096	1151	1147
CAALFM_C101710WA	NC_032089.1	351098	353101	+	2004	606	588	748	629	664	420	398	330
CAALFM_C101720CA	NC_032089.1	353541	353627	-	87	1842	1850	1821	1795	1575	1706	1838	1685
CAALFM_C101730WA	NC_032089.1	354206	354278	+	73	1	0	12	4	41	26	1	1
CAALFM_C101740WA	NC_032089.1	357079	359466	+	2388	289	396	312	383	368	435	38	44
CAALFM_C101750WA	NC_032089.1	361029	362930	+	1902	286	360	326	266	481	437	260	279
CAALFM_C101760WA	NC_032089.1	364172	366307	+	2136	200	237	226	243	300	203	261	276
CAALFM_C101770WA	NC_032089.1	366730	367860	+	1131	427	407	409	415	390	419	300	281
CAALFM_C101780CA	NC_032089.1	367933	369807	-	1875	679	701	752	664	816	783	580	536
CAALFM_C101790WA	NC_032089.1;NC_032089.1	372225;372423	372266;375440	+;+	3060	1401	1377	1440	1437	1227	1174	1060	1066
CAALFM_C101800WA	NC_032089.1	375835	376554	+	720	298	280	363	303	322	270	361	327
CAALFM_C101810CA	NC_032089.1	376645	378174	-	1530	370	305	352	268	655	632	270	350
CAALFM_C101820CA	NC_032089.1	378463	379650	-	1188	284	316	286	291	264	322	345	300
CAALFM_C101830CA	NC_032089.1	380212	380784	-	573	109	132	105	103	73	41	102	97
CAALFM_C101840CA	NC_032089.1	381538	382092	-	555	1065	1168	1220	1075	1263	1300	568	473
CAALFM_C101850CA	NC_032089.1	382760	383590	-	831	1017	1081	1080	1061	1014	1028	839	758
CAALFM_C101860WA	NC_032089.1	383753	384670	+	918	609	812	715	707	847	889	873	868
CAALFM_C101870CA	NC_032089.1	384790	386280	-	1491	1788	1971	1886	1827	1935	1652	1876	1801
CAALFM_C101880CA	NC_032089.1	386597	388924	-	2328	131	145	208	271	304	247	116	123
CAALFM_C101890CA	NC_032089.1	389271	390800	-	1530	756	861	975	789	1113	1100	694	729
CAALFM_C101900CA	NC_032089.1	391247	392764	-	1518	493	512	571	589	613	751	547	452
CAALFM_C101910WA	NC_032089.1	393296	394360	+	1065	3023	3118	3247	3368	2557	2524	2990	2594
CAALFM_C101920WA	NC_032089.1	395587	399411	+	3825	1006	1059	1430	1496	1662	1854	1077	1004
CAALFM_C101930WA	NC_032089.1;NC_032089.1	400591;400906	400619;401977	+;+	1101	289	264	243	286	403	338	173	184
CAALFM_C101940CA	NC_032089.1	402263	402769	-	507	767	847	777	791	675	734	785	781
CAALFM_C101950CA	NC_032089.1	403144	403689	-	546	931	1060	1021	1089	1027	1075	779	857
CAALFM_C101970WA	NC_032089.1	405749	406027	+	279	9	2	36	72	57	84	4	5
CAALFM_C101980WA	NC_032089.1	406673	408310	+	1638	2932	3124	2469	2852	2758	2148	1316	1271
CAALFM_C101990WA	NC_032089.1	411340	412368	+	1029	6	8	11	3	18	18	2	2
CAALFM_C102000WA	NC_032089.1	412817	413818	+	1002	2592	2529	2695	2550	3613	3612	2214	2089
CAALFM_C102010CA	NC_032089.1;NC_032089.1	414090;416215	416136;416273	-;-	2106	106	146	150	138	169	155	134	96
CAALFM_C102020WA	NC_032089.1	416452	417075	+	624	63	81	63	41	30	49	91	82
CAALFM_C102030CA	NC_032089.1	417078	417521	-	444	482	515	479	459	447	485	456	446
CAALFM_C102040CA	NC_032089.1	418019	420493	-	2475	1759	1884	2062	1822	3025	3488	1447	1357
CAALFM_C102050CA	NC_032089.1	421264	423846	-	2583	1095	1094	1108	1042	1235	1147	1038	959
CAALFM_C102060WA	NC_032089.1;NC_032089.1	425985;426377	426012;426615	+;+	267	1037	1063	991	944	1241	1084	1411	1428
CAALFM_C102070WA	NC_032089.1	427843	428838	+	996	16	7	9	27	32	19	21	14
CAALFM_C102080WA	NC_032089.1	429371	430510	+	1140	465	509	613	647	710	832	701	688
CAALFM_C102090CA	NC_032089.1	430507	431994	-	1488	286	274	290	385	451	466	327	326
CAALFM_C102100WA	NC_032089.1	432225	433841	+	1617	168	173	153	138	174	123	140	134
CAALFM_C102110CA	NC_032089.1	434412	436049	-	1638	1845	2142	1942	1852	1136	1016	119	85
CAALFM_C102120CA	NC_032089.1	442448	444235	-	1788	7130	6899	5415	5475	3683	3017	6105	5913
CAALFM_C102130CA	NC_032089.1	449253	450800	-	1548	1389	1403	1186	1360	953	806	484	408
CAALFM_C102150WA	NC_032089.1	452164	454191	+	2028	2194	2220	1926	1930	2919	2708	736	686
CAALFM_C102160WA	NC_032089.1	454396	454902	+	507	117	143	171	164	162	185	129	100
CAALFM_C102170CA	NC_032089.1	454861	455823	-	963	875	1115	1042	882	1222	1055	843	784
CAALFM_C102180WA	NC_032089.1	456751	457911	+	1161	12425	13032	10499	11087	14354	11232	5450	4780
CAALFM_C102190WA	NC_032089.1	458366	459304	+	939	341	446	457	540	400	406	424	352
CAALFM_C102200CA	NC_032089.1	459294	460130	-	837	185	216	217	210	177	161	190	203
CAALFM_C102210WA	NC_032089.1	461070	462782	+	1713	1311	1356	1462	1242	1238	1240	1354	1184
CAALFM_C102220CA	NC_032089.1	462849	463859	-	1011	292	361	408	270	331	412	301	313
CAALFM_C102230WA	NC_032089.1	465637	467649	+	2013	552	548	541	487	614	443	515	480
CAALFM_C102240WA	NC_032089.1	469116	471743	+	2628	184	210	179	152	188	139	200	103
CAALFM_C102250WA	NC_032089.1	474919	475644	+	726	78	85	97	65	75	76	71	49
CAALFM_C102260CA	NC_032089.1	475896	477035	-	1140	86	95	81	99	94	131	94	107
CAALFM_C102270CA	NC_032089.1	477305	478183	-	879	427	489	473	328	260	286	275	311
CAALFM_C102280CA	NC_032089.1	478626	481568	-	2943	52	48	49	43	59	31	46	51
CAALFM_C102290CA	NC_032089.1	482379	483590	-	1212	618	742	740	715	743	714	835	741
CAALFM_C102300WA	NC_032089.1	483698	484063	+	366	191	179	192	202	220	225	225	201
CAALFM_C102310CA	NC_032089.1	484174	484539	-	366	81	84	64	72	63	59	84	66
CAALFM_C102320CA	NC_032089.1	484846	486477	-	1632	99	117	111	93	117	117	121	108
CAALFM_C102330CA	NC_032089.1;NC_032089.1	487350;488178	487714;488196	-;-	384	5566	5621	5958	7838	2743	2813	4366	4237
CAALFM_C102340CA	NC_032089.1;NC_032089.1	488645;488712	488680;488749	-;-	74	181	212	1099	947	3488	3478	289	293
CAALFM_C102350WA	NC_032089.1	489332	490138	+	807	465	423	387	389	284	318	474	406
CAALFM_C102360CA	NC_032089.1	490252	492177	-	1926	580	622	601	710	523	486	689	622
CAALFM_C102370CA	NC_032089.1	492588	496217	-	3630	119	139	181	131	135	143	150	154
CAALFM_C102380CA	NC_032089.1	498351	498953	-	603	30	25	23	19	33	43	19	25
CAALFM_C102390WA	NC_032089.1	499217	501709	+	2493	148	169	205	228	254	235	131	124
CAALFM_C102400CA	NC_032089.1	502050	503384	-	1335	38	60	77	86	64	83	50	42
CAALFM_C102410CA	NC_032089.1	504151	505224	-	1074	374	311	286	300	289	270	290	267
CAALFM_C102420CA	NC_032089.1	505969	511662	-	5694	477	582	710	669	802	751	523	521
CAALFM_C102430CA	NC_032089.1	515594	517525	-	1932	1448	1406	1501	1506	1945	1786	1505	1406
CAALFM_C102440CA	NC_032089.1	518168	519169	-	1002	237	231	259	252	421	403	307	285
